addr	name	kind	module	class	attributed_by	size
0040e420	FUN_0040e420	gamemisc	entity	_helpers_wrapper	role:wrapper	30
0040e440	FUN_0040e440	gamemisc	ui	_helpers_ctor-like	role:ctor-like	566
0040e676	Catch_All@0040e676	lib	_library	eh_funclets	eh	26
0040e696	FUN_0040e696	gamemisc	ui	Unsorted	logic:caller-vote	90
0040e6f0	FUN_0040e6f0	gamemisc	ui	_helpers_ctor-like	role:ctor-like	454
0040e8b6	Catch_All@0040e8b6	lib	_library	eh_funclets	eh	26
0040e8d6	FUN_0040e8d6	gamemisc	ui	Unsorted	logic:caller-vote	92
0040e940	FUN_0040e940	gamemisc	ui	Helpers	caller-vote	239
0040ea30	FUN_0040ea30	gamemisc	game_misc	Unsorted_000	none	20
0040ea50	FUN_0040ea50	gamemisc	control	Unsorted	logic:caller-vote	28
0040ea70	FUN_0040ea70	gamemisc	control	Unsorted	logic:caller-vote	26
0040ea90	FUN_0040ea90	gamemisc	entity	Unsorted	logic:caller-vote	38
0040eac0	FUN_0040eac0	gamemisc	control	Unsorted	logic:caller-vote	48
0040eaf0	FUN_0040eaf0	gamemisc	game_misc	Unsorted_000	none	106
0040eb60	FUN_0040eb60	gamemisc	control	Unsorted	logic:caller-vote	96
0040ebc0	FUN_0040ebc0	gamemisc	control	Helpers	caller-vote	22
0040ebe0	std::basic_stringstream<wchar_t,std::char_traits<wchar_t>,std::allocator<wchar_t>_>::basic_stringstream<wchar_t,std::char_traits<wchar_t>,std::allocator<wchar_t>_>_Constructor_or_Destructor	lib	_library	stl	stl-ns	229
0040ecd0	FUN_0040ecd0	gamemisc	control	Helpers	caller-vote	358
0040ee40	FUN_0040ee40	gamemisc	world	Helpers	caller-vote	37
0040ee70	FUN_0040ee70	gamemisc	game_misc	Unsorted_000	none	163
0040ef20	FUN_0040ef20	gamemisc	game_misc	Unsorted_000	none	43
0040ef50	FUN_0040ef50	gamemisc	control	Helpers	caller-vote	18
0040ef70	FUN_0040ef70	gamemisc	control	Helpers	caller-vote	10
0040ef80	FUN_0040ef80	gamemisc	control	Helpers	caller-vote	37
0040efb0	std::basic_stringstream<wchar_t,std::char_traits<wchar_t>,std::allocator<wchar_t>_>::basic_stringstream<wchar_t,std::char_traits<wchar_t>,std::allocator<wchar_t>_>_Constructor_or_Destructor	lib	_library	stl	stl-ns	91
0040f00b	std::basic_stringstream<wchar_t,std::char_traits<wchar_t>,std::allocator<wchar_t>_>::vfunction1	lib	_library	stl	stl-ns	8
0040f020	std::basic_stringbuf<wchar_t,std::char_traits<wchar_t>,std::allocator<wchar_t>_>::deleting_destructor	lib	_library	stl	stl-ns	44
0040f050	std::basic_stringstream<wchar_t,std::char_traits<wchar_t>,std::allocator<wchar_t>_>::basic_stringstream<wchar_t,std::char_traits<wchar_t>,std::allocator<wchar_t>_>_Constructor_or_Destructor	lib	_library	stl	stl-ns	116
0040f0d0	FUN_0040f0d0	gamemisc	world	Helpers	caller-vote	35
0040f0f3	std::basic_stringstream<wchar_t,std::char_traits<wchar_t>,std::allocator<wchar_t>_>::vfunction2	lib	_library	stl	stl-ns	12
